Column1,Column2,Column3
-174,-84,33.273
-174,-83,43.004
-174,-82,44.198
-174,-81,49.982
-174,-80,53.924
-174,-79,56.552
-174,-78,58.733
-174,-77,64.927
-174,-76,49.122
-174,-75,56.577
-174,-74,61.745
-174,-73,57.748
-174,-72,55.834
-174,-71,44.349
-174,-70,33.766
-174,-69,32.749
-174,-68,43.932
-174,-67,50
-174,-66,50
-174,-65,53.51
-174,-64,42.133
-174,-63,74.18
-174,-62,101.605
-174,-61,124.061
-174,-60,138.326
-174,-59,124.554
-174,-58,139.246
-174,-57,135.286
-174,-56,80.743
-174,-55,66.075
-174,-54,57.198
-174,-53,67.779
-174,-52,78.233
-174,-51,83.958
-174,-50,82.456
-174,-49,84.944
-174,-48,82.717
-174,-47,82.688
-174,-46,98.346
-174,-45,110.068
-174,-44,122.705
-174,-43,104.786
-174,-42,89.466
-174,-41,81.137
-174,-40,95.992
-174,-39,107.132
-174,-38,116.487
-174,-37,112.717
-174,-36,107.945
-174,-35,104.657
-174,-34,137.15
-174,-33,137.137
-174,-32,139.401
-174,-31,159.32
-174,-30,140.767
-174,-29,178.032
-174,-28,189.199
-174,-27,194.003
-174,-26,184.643
-174,-25,182.166
-174,-24,193.356
-174,-23,259.992
-174,-22,239.063
-174,-21,241.801
-174,-20,197.807
-174,-19,70.545
-174,-18,22.206
-174,-17,24.282
-174,-16,25
-174,-15,27.782
-174,-14,43.926
-174,-13,50
-174,-12,60.591
-174,-11,77.951
-174,-10,76.434
-174,-9,116.708
-174,-8,113.592
-174,-7,108.316
-174,-6,111.661
-174,-5,100.833
-174,-4,92.016
-174,-3,85.507
-174,-2,173.256
-174,-1,133.427
-174,0,106.905
-174,1,127.141
-174,2,132.414
-174,3,129.785
-174,4,125.264
-174,5,124.107
-174,6,117.778
-174,7,120.096
-174,8,131.979
-174,9,139.405
-174,10,168.852
-174,11,191.155
-174,12,151.515
-174,13,134.746
-174,14,116.059
-174,15,113.482
-174,16,112.001
-174,17,113.234
-174,18,139.445
-174,19,120.207
-174,20,113.315
-174,21,110.454
-174,22,103.821
-174,23,97.243
-174,24,93.203
-174,25,100.488
-174,26,118.47
-174,27,134.069
-174,28,129.424
-174,29,121.925
-174,30,120.996
-174,31,126.274
-174,32,121.632
-174,33,115.712
-174,34,110.633
-174,35,110.903
-174,36,108.771
-174,37,108.024
-174,38,115.284
-174,39,111.219
-174,40,114.24
-174,41,114.877
-174,42,110.862
-174,43,101.333
-174,44,107.263
-174,45,118.334
-174,46,112.078
-174,47,92.92
-174,48,75.215
-174,49,76.213
-174,50,61.578
-174,51,65.488
-174,52,102.306
-174,53,60.05
-174,54,71.531
-174,55,75.021
-174,56,63.798
-174,57,37.139
-174,58,34.131
-174,59,52.443
-174,60,67.722
-174,61,65.019
-174,62,71.571
-174,63,57.539
-174,64,50
-174,65,50
-174,66,58.105
-174,67,71.562
-174,68,64.678
-174,69,57.015
-174,70,48.463
-174,71,43.221
-174,72,59.885
-174,73,84.329
-174,74,155.932
-174,75,180.269
-174,76,127.198
-174,77,131.922
-174,78,121.2
-174,79,125.947
-174,80,159.583
-174,81,113.948
-174,82,140.395
-174,83,125.636
-174,84,112.863
-174,85,124.226
-174,86,105.913
-174,87,130.177
-174,88,134.512
-174,89,102.892
-174,90,71.848
-173,-90,264.458
-173,-89,219.098
-173,-88,166.134
-173,-87,105.651
-173,-86,75.487
-173,-85,54.723
-173,-84,33.316
-173,-83,43.029
-173,-82,44.142
-173,-81,50.428
-173,-80,54.637
-173,-79,57.001
-173,-78,59.542
-173,-77,64.775
-173,-76,53.129
-173,-75,60.002
-173,-74,63.689
-173,-73,64.993
-173,-72,58.974
-173,-71,41.367
-173,-70,32.794
-173,-69,36.036
-173,-68,46.58
-173,-67,50
-173,-66,50
-173,-65,54.62
-173,-64,42.604
-173,-63,67.82
-173,-62,86.289
-173,-61,111.589
-173,-60,131.552
-173,-59,136.397
-173,-58,153.073
-173,-57,157.818
-173,-56,99.089
-173,-55,66.071
-173,-54,55.206
-173,-53,71.186
-173,-52,87.704
-173,-51,95.079
-173,-50,81.84
-173,-49,75.427
-173,-48,70.918
-173,-47,76.138
-173,-46,91.07
-173,-45,91.437
-173,-44,104.579
-173,-43,103.265
-173,-42,101.087
-173,-41,90.263
-173,-40,88.012
-173,-39,82.742
-173,-38,92.362
-173,-37,100.544
-173,-36,99.678
-173,-35,97.478
-173,-34,94.835
-173,-33,115.658
-173,-32,139.817
-173,-31,147.175
-173,-30,143.015
-173,-29,141.969
-173,-28,157.332
-173,-27,176.997
-173,-26,181.589
-173,-25,178.108
-173,-24,154.027
-173,-23,212.367
-173,-22,244.739
-173,-21,215.974
-173,-20,196.151
-173,-19,204.459
-173,-18,80.546
-173,-17,16.14
-173,-16,33.634
-173,-15,48.26
-173,-14,48.762
-173,-13,52.803
-173,-12,58.835
-173,-11,92.502
-173,-10,89.151
-173,-9,128.215
-173,-8,129.562
-173,-7,117.197
-173,-6,124.066
-173,-5,119.005
-173,-4,105.168
-173,-3,105.206
-173,-2,103.087
-173,-1,112.384
-173,0,110.376
-173,1,127.681
-173,2,133.599
-173,3,132.398
-173,4,130.608
-173,5,127.902
-173,6,121.201
-173,7,127.666
-173,8,135.758
-173,9,164.475
-173,10,215.045
-173,11,198.571
-173,12,160.56
-173,13,136.194
-173,14,109.959
-173,15,104.963
-173,16,111.277
-173,17,116.713
-173,18,129.186
-173,19,142.525
-173,20,125.845
-173,21,116.96
-173,22,100.303
-173,23,89.028
-173,24,85.381
-173,25,96.064
-173,26,110.918
-173,27,125.928
-173,28,125.61
-173,29,124.979
-173,30,124.925
-173,31,119.186
-173,32,111.229
-173,33,104.726
-173,34,101.12
-173,35,106.471
-173,36,110.09
-173,37,110.606
-173,38,115.63
-173,39,118.461
-173,40,116.777
-173,41,116.831
-173,42,109.404
-173,43,97.854
-173,44,103.534
-173,45,113.342
-173,46,107.62
-173,47,91.874
-173,48,72.63
-173,49,76.286
-173,50,63.784
-173,51,57.903
-173,52,114.031
-173,53,70.143
-173,54,74.723
-173,55,79.195
-173,56,72.77
-173,57,39.058
-173,58,29.81
-173,59,55.077
-173,60,61.437
-173,61,62.298
-173,62,71.669
-173,63,56.444
-173,64,50
-173,65,50.224
-173,66,56.973
-173,67,66.052
-173,68,61.989
-173,69,54.244
-173,70,49.043
